"Queue","Count","Age"
trms_mx_ari_email_dnr_emails_wrk_amz,4,100677
trms_mx_ari_afnhighriskrefundapproval_wrk_amz,3,28050
trms_mx_ari_afnrrefundapproval_wrk_amz,3,896627
trms_mx_ari_sellerinitiatedrefund_wrk_amz,3,11729
trms_mx_ari_email_mfn_emails_wrk_amz,1,36437
trms_br_ari_mfnegregious_wrk_amz,612,1104155
trms_br_ari_dnr_concessions_abuse_wrk_amz,281,421509
trms_br_ari_email_suspect_abuse_wrk_amz,258,379033
trms_br_ari_buyer_claims_abuse_wrk_amz,81,412842
trms_br_ari_concessionsabuse_flrreferrals_wrk_amz,58,124475
trms_br_ari_acclinkageinvestigation_wrk_amz,49,335509
trms_br_ari_nsr_concessions_abuse_wrk_amz,44,414936
trms_br_ari_email_arm_appeals_wrk_amz,36,93243
trms_br_ari_email_ofm_wrk_amz,35,97792
trms_br_pi_ari_claims_atoz_ari_abuse_abc_wrk_amz,33,39349
trms_br_ari_email_maa_emails_wrk_amz,32,95319
trms_br_ari_concessionsabuserr_wrk_amz,30,115930
trms_br_ari_afnrefundapproval_wrk_amz,25,11113
trms_br_ari_barsconcessionabuse_wrk_amz,19,372708
trms_br_ari_email_dnr_emails_wrk_amz,14,101195
trms_br_ari_email_contra_ari_wrk_amz,13,100780
trms_br_ari_sellerinitiatedrefund_wrk_amz,10,12049
trms_br_ari_concessions_abuse_risky_orders_wrk_amz,7,8507
trms_br_ari_email_ari_rcr_wrk_amz,6,28449
trms_br_ari_afnhighriskrefundapproval_wrk_amz,5,39826
trms_br_ari_email_ari_esc_wrk_amz,3,182214
trms_br_ari_in_transit_wrk_amz,3,274951
trms_br_ari_concessionsabusepfocpersona_wrk_amz,1,188758
trms_br_ari_email_buyer_returns_wrk_amz,1,14656
trms_br_ari_high_risk_accinvestigation_wrk_amz,1,262738
trms_us_ari_afnhigh_risk_refund_approval_wrk_amz,197,44495
trms_au_ari_in_transit_wrk_amz,99,353974
trms_au_ari_acclinkageinvestigation_wrk_amz,91,354159
trms_au_ari_dnr_concessions_abuse_wrk_amz,71,405170
trms_au_ari_email_suspect_abuse_wrk_amz,53,145648
trms_au_ari_nsr_concessions_abuse_wrk_amz,27,404757
trms_au_ari_drop_ship_abuse_referrals_wrk_amz,25,87823
trms_au_ari_email_arm_appeals_wrk_amz,24,27886
trms_au_ari_email_ofm_wrk_amz,24,56797
trms_au_ari_nsrsou_wrk_amz,22,176358
trms_au_ari_buyer_claims_abuse_wrk_amz,19,323095
trms_au_ari_afnrefundapproval_wrk_amz,16,18767
trms_au_ari_concessionsabuse_flrreferrals_wrk_amz,16,187404
trms_au_ari_afnhighriskrefundapproval_wrk_amz,14,21673
trms_au_ari_email_ari_rcr_wrk_amz,9,53786
trms_au_ari_mfnegregious_wrk_amz,7,110497
trms_au_ari_email_buyer_claims_wrk_amz,6,49751
trms_au_ari_psi_transfer_concession_level_wrk_amz,6,2678915
trms_au_ari_afn_holistic_refund_approval_wrk_amz,3,28671
trms_au_ari_afnrrefundapproval_wrk_amz,3,896629
trms_au_ari_email_dnr_emails_wrk_amz,3,29155
trms_au_ari_email_maa_emails_wrk_amz,3,42882
trms_au_ari_email_pna_appeals_wrk_amz,2,2933691
trms_au_ari_armholisticrefundapproval_wrk_amz,1,15205
trms_au_ari_email_ari_esc_wrk_amz,1,23386
trms_au_ari_email_contra_ari_wrk_amz,1,58444
trms_au_ari_psi_transfer_riskyorder_wrk_amz,1,1879881
trms_jp_ari_barsconcessionabuse_wrk_amz,325,403526
trms_jp_ari_acclinkageinvestigation_wrk_amz,220,405196
trms_jp_ari_dnr_concessions_abuse_wrk_amz,141,403510
trms_jp_ari_buyerclaimsabuse_wrk_amz,78,400580
trms_jp_ari_nsr_concessions_abuse_wrk_amz,75,399804
trms_jp_ari_f3concessionsabuse_wrk_amz,72,395916
trms_jp_ari_abdrop_ship_abuse_referrals_wrk_amz,34,87876
trms_jp_ari_afnhighriskrefundapproval_wrk_amz,27,26103
trms_jp_ari_concessionsabuse_flrreferrals_wrk_amz,21,187716
trms_jp_ari_drop_ship_abuse_referrals_wrk_amz,20,87911
trms_jp_ari_psi_transfer_concession_level_wrk_amz,19,2747922
trms_jp_ari_afnrefundapproval_wrk_amz,13,28820
trms_jp_ari_email_cis_wrk_amz,12,51239
trms_jp_ari_in_transit_wrk_amz,10,385215
trms_jp_ari_mfnegregious_wrk_amz,10,110721
trms_jp_ari_qtylimit_wrk_amz,10,10559
trms_jp_pi_ari_claims_atoz_ari_abuse_abc_wrk_amz,10,10221
trms_jp_ari_email_ari_rcr_wrk_amz,9,57055
trms_jp_ari_afn_holistic_refund_approval_wrk_amz,8,15903
trms_jp_ari_email_maa_emails_wrk_amz,8,49328
trms_jp_ari_nsrsou_wrk_amz,6,176357
trms_jp_ari_b2b_concessionsabuse_wrk_amz,5,2304929
trms_jp_ari_afnrrefundapproval_wrk_amz,3,896630
trms_jp_ari_email_contra_ari_wrk_amz,3,57869
trms_jp_ari_trustedsellerreferral_wrk_amz,3,78401
trms_jp_ari_sellerinitiatedrefund_wrk_amz,2,22993
trms_jp_ari_email_qla_wrk_amz,1,30694
trms_jp_ari_psi_transfer_acc_level_wrk_amz,1,3125640
trms_jp_ari_psi_transfer_riskyorder_wrk_amz,1,213763
trms_sg_ari_acclinkageinvestigation_wrk_amz,48,354305
trms_sg_ari_f3concessionsabuse_wrk_amz,34,395915
trms_sg_ari_email_ofm_wrk_amz,16,60341
trms_sg_ari_dnr_concessions_abuse_wrk_amz,12,398349
trms_sg_ari_mfnegregious_wrk_amz,4,110206
trms_sg_ari_nsr_concessions_abuse_wrk_amz,4,377791
trms_sg_ari_afnrrefundapproval_wrk_amz,3,896630
trms_sg_ari_buyer_claims_abuse_wrk_amz,1,118482
trms_sg_ari_email_buyer_claims_wrk_amz,1,31546
trms_sg_ari_email_contra_ari_wrk_amz,1,23371
trms_sg_ari_in_transit_wrk_amz,1,60671
trms_uk_ari_acclinkageinvestigation_wrk_amz,1073,356113
trms_uk_ari_dnr_concessions_abuse_wrk_amz_2,782,202302
trms_uk_ari_psi_transfer_acc_level_wrk_amz,515,404228
trms_uk_ari_concessions_abuse_pfoc_persona_wrk_amz,418,42290
